ingredients,safe_ingredients,harmful_ingredients,general_health_assessment,toxicity_score,allergen_risk,regulatory_status
"Pork backbone, salt, sugar, natural flavors, preservatives (E252, E250)","['Pork backbone', 'Salt', 'Sugar']","['E252', 'E250']","Overall, these ingredients appear to be safe for consumption. However, it is important to note that the product may contain preservatives (E250 and E252) which could potentially have negative effects on health in large amounts or when consumed regularly.",Low,Low,"Approved"
"Water, sugar, acidulant: citric acid, tea extract, lemon juice from concentrate, acidity regulator: sodium citrates, antioxidant: ascorbic acid, sweetener: sucralose, natural lemon flavor","['Water', 'Citric acid', 'Tea extract', 'Lemon juice']","[]","No specific health concerns found for these ingredients.",Low,Low,"Approved"
"Pasteurized milk, cream, table salt, microbial rennet, lactic acid cultures, ripening cultures","['Pasteurized milk', 'Cream', 'Table salt']","[]","Overall, the product appears to be safe for consumption. Pasteurization is a common method used in food production that kills harmful bacteria and viruses while preserving nutrients such as vitamins A and D found naturally in milk.",Low,Low,"Approved"
"Chili sauce, fructose, concentrated pineapple juice, glucose syrup, tomato paste, onion concentrate, salt, mirin rice wine, water, red pepper juice concentrate, crushed chili, garlic puree, rapeseed oil, ginger puree, acidity regulator (acetic acid), Nigella seeds, color (paprika extract), cayenne pepper, chili coater","['Fructose', 'Concentrated pineapple juice', 'Glucose syrup', 'Tomato paste']","[]","Overall, the ingredients seem safe to consume. However, it is important for individuals with allergies or intolerances to certain spices such as cayenne pepper and chili coater to exercise caution while consuming this product.",Low,Moderate,"Approved"
"Chicken meat, vegetable fat (palm), salt, milk protein, dextrose, vegetable extract, flavor, antioxidant sodium ascorbate, color: natural cochineal, preservative, sodium nitrite, potassium nitrate, ferments, smoke","['Chicken meat', 'Vegetable fat (palm)', 'Salt']","['Sodium nitrite', 'Potassium nitrate']","Overall, the product appears to be safe for consumption. However, it is important to note that some of these ingredients may have potential allergens or health concerns if consumed in large quantities.",Low,Moderate,"Approved"
"Mature Cheddar Cheese, Minced Black Summer Truffle, vegetable oil, water, salt, truffle flavoring","['Mature Cheddar Cheese', 'Minced Black Summer Truffle', 'Vegetable oil']","[]","Overall, the product appears to be safe for consumption. However, individuals with allergies or intolerances should exercise caution when consuming dairy products such as cheese.",Low,Moderate,"Approved"
"Fruits, ascorbic acid","['Fruits', 'Ascorbic acid']","[]","The ingredients appear to be safe for consumption. Fruits are a good source of vitamins and fiber, while ascorbic acid is an antioxidant that may have health benefits in small amounts.",Low,Low,"Approved"
"Peaches, drinking water, egg liqueur, whipped cream, sugar, biscuit, passion fruit, skimmed milk yogurt, modified starch, rum, glucose-fructose syrup, gelatin, table salt, antioxidant E300, flavor, color E160a, acidulant E330","['Peaches', 'Drinking water', 'Egg liqueur', 'Whipped cream']","['Glucose-fructose syrup', 'E300', 'E160a']","Overall, the product seems safe to consume. However, it is important for individuals with allergies or intolerances to certain listed ingredients (such as lactose and glucose-fructose syrup) to exercise caution before consuming this product.",Low,Moderate,"Approved"
"Water, fish, tomato concentrate, white wine, rice cream, onions, carrots, leeks, olive oil, garlic, celery, salt, pepper, spices, saffron","['Water', 'Fish', 'Tomato concentrate', 'White wine']","[]","Overall, the ingredients appear to be safe. However, it is important for individuals with shellfish allergies or intolerances to avoid consuming this product due to potential cross-contamination from fish.",Low,Moderate,"Approved"
"Carbonated water, sucrose, glucose syrup, acid (citric acid, tartaric acid), taurine, flavors, flavor enhancer (erythritol, acidity regulator (sodium hydrogen carbonate, magnesium carbonate), preservatives (sorbic acid, benzoic acid), caffeine, sweetener (sucralose), vitamins (riboflavin, niacin, B6, B12), color (anthocyanins), L-carnitine L-tartrate, inositol","['Carbonated water', 'Taurine', 'Citric acid', 'Tartaric acid']","['Sorbic acid', 'Benzoic acid', 'Caffeine']","Overall, the ingredients appear to be safe for consumption. However, it is important to note that excessive intake of certain sweeteners like erythritol and acidity regulators could potentially lead to health issues.",Low,Moderate,"Approved"
